data_shopid,shop_name,recommend_dishes,shop_link,star_score,score_text,price,region,category,desc_addr_txt,reviews,address,biz_time,updated_at
G42raZgZrwxB69Oj, 京兆尹(雍和宫店), 糖醋藕排、 金刚沙豆腐、 桃胶珍菌卤味饭, https://www.dianping.com/shop/G42raZgZrwxB69Oj, 4.9, "口味:4.9 环境:4.9 服务:4.9", ¥1016/人, 雍和宫/地坛, 素食, 距地铁5号线雍和宫站G西南口步行130m, 17909, 安定门街道五道营胡同2号, 11:00-14:00、 17:30-21:00, 2025-11-13T13:40:17+08:00
l1MNeHgCskgs6qiN, 牛街清真满恒記(平安里西大街店), 金奖麻酱糖饼、 手工鲜切羊后腿、 麻酱小料, https://www.dianping.com/shop/l1MNeHgCskgs6qiN, 4.8, "口味:4.8 环境:4.5 服务:4.7 食材:4.8", ¥111/人, 西城区, 老北京火锅, 距地铁4/6号线平安里地铁站H西南口210m, 69159, 平安里西大街与赵登禹路交叉口西南角, 06:30-09:30、 11:00-21:30、 22:00-24:00, 2025-11-13T13:40:36+08:00
GaWSkX23Ca2P0AIV, 河沿肉饼Beijing Pie(锡拉胡同店), 宫保鸡腿丁、 牛肉大葱饼、 传统京味酸辣汤一份, https://www.dianping.com/shop/GaWSkX23Ca2P0AIV, 4.7, "口味:4.7 环境:4.4 服务:4.5", ¥61/人, 王府井/东单, 京菜, 距地铁8号线金鱼胡同站C西南口步行280m, 34683, 锡拉胡同14号, 10:00-21:00, 2025-11-13T13:40:53+08:00
G9Fb8IFwGrIe6s71, 达磨(三里屯soho店), 达磨鸡肉沙拉、 东京拌面、 达磨锅, https://www.dianping.com/shop/G9Fb8IFwGrIe6s71, 4.6, "口味:4.7 环境:4.4 服务:4.7 食材:4.8", ¥109/人, 三里屯/工体, 日本料理, 距地铁工人体育场站D口步行350m, 3733, 工人体育场北路三里屯SOHO2号商场5层515室, 11:30-14:00、 17:00-22:30, 2025-11-13T13:41:11+08:00
kayKIfr0Tq0P3spF, 胜博殿日式炸猪排(西单君太百货店), 高丽菜丝、 手磨芝麻、 味增汤, https://www.dianping.com/shop/kayKIfr0Tq0P3spF, 4.8, "口味:4.8 环境:4.8 服务:4.8 食材:4.8", ¥105/人, 西单, 日本料理, 距地铁4号线西单站F1西北口步行200m, 9352, 西单北大街133号君太百货B1楼, 11:00-15:30、 17:00-21:30, 2025-11-13T13:41:28+08:00
G8IrRqD4r5kql04A, 悠航SLOWBOAT(三里屯店), 薯条汉堡、 老泰泰汉堡、 酸黄瓜条, https://www.dianping.com/shop/G8IrRqD4r5kql04A, 4.8, "口味:4.8 环境:4.8 服务:4.8", ¥122/人, 三里屯/工体, 西餐, 距地铁3号线团结湖站H口步行580m, 22098, 南三里屯路6号, 11:00-24:00, 2025-11-13T13:41:44+08:00
l9WDaQFRazpx1UrH, 准噶尔·新疆菜(龙潭店), 准噶尔酸奶、 烤包子、 新疆大盘鸡, https://www.dianping.com/shop/l9WDaQFRazpx1UrH, 4.7, "口味:4.6 环境:4.6 服务:4.6", ¥94/人, 光明楼/龙潭湖, 新疆菜, , 18435, 龙潭路甲8号, 11:00-14:00、 17:00-21:30, 2025-11-13T13:42:01+08:00
FZY05IVETUlHFm0e, 四季民福烤鸭店(前门店), 四季民福烤鸭、 贝勒烤肉、 巧拌豆苗, https://www.dianping.com/shop/FZY05IVETUlHFm0e, 4.7, "口味:4.7 环境:4.8 服务:4.7", ¥152/人, 前门/大栅栏, 烤鸭, 距地铁8号线前门站I西南口步行370m, 21647, 大栅栏街1号3层, 10:30-21:30, 2025-11-13T13:42:16+08:00
EoVWA6uQ5um0NIaz, 利苑酒家(华熙国际店), 冰烧三层肉、 鲍汁凤爪、 烤乳鸽, https://www.dianping.com/shop/EoVWA6uQ5um0NIaz, 4.7, "口味:4.8 环境:4.8 服务:4.8", ¥285/人, 建外大街, 粤菜馆, 距地铁国贸站出入口步行310m, 7232, 建国门外大街甲6号华熙国际中心C座C2-C3, 11:30-14:30、 17:30-21:30, 2025-11-13T13:42:35+08:00
k5sw92z3gdZdjDR1, 福楼毕斯罗F Bistronome(国贸商城店), 招牌香橙舒芙蕾、 巴黎摩天轮下午茶、 冷切金枪鱼双重奏, https://www.dianping.com/shop/k5sw92z3gdZdjDR1, 4.5, "口味:4.5 环境:4.7 服务:4.7", ¥371/人, 国贸/建外, 法国菜, 距地铁10号线国贸站E2西北口步行320m, 16728, 东三环中路国贸商城3期北区B座7层NL7005号商铺, 11:30-16:30、 17:30-22:00, 2025-11-13T13:42:53+08:00
E12CTpZeBrpKHepA, 懒人盐府人家(安贞店), 盐帮水煮牛肉、 自贡大麻鱼、 盐府老冰粉冰粉, https://www.dianping.com/shop/E12CTpZeBrpKHepA, 4.8, "口味:4.8 环境:4.8 服务:4.8", ¥95/人, 安贞, 川菜馆, 距地铁安贞桥站C口步行410m, 14109, 安定门外大街安贞桥南150米江苏饭店北侧（安贞桥南250米路西）, 10:30-14:30、 17:00-21:30, 2025-11-13T13:43:09+08:00
k445tvHcLlQsum5F, 九十九顶毡房(清河店), 毡房烤全羊、 额吉酸奶饼、 蒙古奶茶, https://www.dianping.com/shop/k445tvHcLlQsum5F, 4.7, "口味:4.7 环境:4.7 服务:4.7", ¥196/人, 清河, 内蒙菜, , 31326, 东升乡马坊村永泰庄北路9号（北五环林萃桥北第四个红绿灯左转，地铁8号线永泰庄站东北口800米）, 11:00-14:00、 17:00-21:00, 2025-11-13T13:43:25+08:00
k8CBj1GClrieiFqM, 23坐, 牛肉面、 溏心茶叶蛋、 土豆丝, https://www.dianping.com/shop/k8CBj1GClrieiFqM, 4.4, "口味:4.4 环境:4.5 服务:4.4", ¥47/人, 三里屯/工体, 面馆, 距地铁工人体育场站A口步行550m, 6798, 春秀路与幸福村中路交叉口东行80米路南, 11:00-14:30、 17:00-21:30, 2025-11-13T13:43:43+08:00
H941b6LwevF1PBqv, 潇湘阁(三里屯SOHO店), 金钱蛋、 小炒肉、 酸辣鸡胗, https://www.dianping.com/shop/H941b6LwevF1PBqv, 4.8, "口味:4.8 环境:4.4 服务:4.6", ¥80/人, 三里屯/工体, 湘菜, 距地铁工人体育场站D口步行340m, 12501, 三里屯街道工体北路8号院三里屯SOHO1号商场B1层B1-117(下沉广场赛百味路口往里走30米), 10:30-21:30, 2025-11-13T13:44:00+08:00
