2025-09-30 10:56:17,691 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:17,716 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:56:19,501 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:21,012 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:22,837 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:24,384 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:26,130 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:26,154 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:56:27,766 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:29,208 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:30,666 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:32,430 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:33,732 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:33,755 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:56:35,645 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:37,195 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:38,460 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:39,838 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:41,787 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:41,810 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:56:43,274 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:44,742 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:46,324 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:47,739 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:49,165 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:49,190 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:56:50,668 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:52,222 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:53,801 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:55,810 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:57,654 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:56:57,677 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:56:59,552 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:01,281 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:02,652 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:04,187 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:05,983 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:06,006 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:57:07,640 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:08,924 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:10,209 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:11,676 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:13,310 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:13,333 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:57:15,073 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:16,754 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:18,620 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:20,214 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:21,999 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:22,020 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:57:23,367 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:24,755 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:26,035 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:27,883 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:29,652 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:29,673 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:57:31,086 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:32,991 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:34,888 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:36,689 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:38,192 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:38,215 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:57:39,656 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:41,207 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:43,046 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:44,540 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:46,345 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:46,368 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:57:48,083 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:49,689 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:51,260 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:52,919 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:54,470 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:54,495 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:57:56,121 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:57,660 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:57:59,166 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:00,988 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:02,819 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:02,837 - INFO - 📊 当前已同步数据总数: 51253
2025-09-30 10:58:04,441 - INFO - 📊 总页数：2562, 总记录数：51225
2025-09-30 10:58:06,124 - INFO - 📊 总页数：2562, 总记录数：51225
